"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested","sim"
"374",14,112338,112182.53968254,60,0,800,78,800,10
"375",15,111417,112154.195011338,60,0,800,80,800,10
"376",16,110493,111689.342403628,60,0,800,75,800,10
"377",17,109575,109047.619047619,60,0,800,79,800,10
"378",18,108661,109427.437641723,60,0,800,65,800,10
"379",19,107745,107182.53968254,60,0,800,80,800,10
"380",20,106841,107573.696145125,60,0,800,95,800,10
"381",21,105926,106269.841269841,60,0,800,94,800,10
"382",22,105025,105459.183673469,60,0,800,75,800,10
"383",23,104114,104348.072562358,60,0,800,76,800,10
"384",24,103203,103520.408163265,60,0,800,75,800,10
"385",25,102306,102851.473922902,60,0,800,91,800,10
"386",26,101405,100992.063492063,60,0,800,79,800,10
"387",27,100506,100980.725623583,60,0,800,77,800,10
"388",28,99614,99104.3083900227,60,0,800,77,800,10
"389",29,98711,99234.693877551,60,0,800,94,800,10
"390",30,97818,97131.5192743764,60,0,800,88,800,10
"391",31,96913,96519.2743764172,60,0,800,76,800,10
"392",32,95996,95487.5283446712,60,0,800,72,800,10
"393",33,95101,95147.3922902494,60,0,800,84,800,10
"394",34,94203,94370.7482993197,60,0,800,73,800,10
"395",35,93308,93701.8140589569,60,0,800,89,800,10
"396",36,92410,91695.0113378685,60,0,800,95,800,10
"397",37,91522,90413.8321995465,60,0,800,78,800,10
"398",38,90617,90141.7233560091,60,0,800,86,800,10
"399",39,89723,90413.8321995465,60,0,800,70,800,10
"400",40,88841,89546.485260771,60,0,800,92,800,10
