"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"273",23,1949952,1960090.70294785,30,10,0,125,0,0,174.83744992952,125,"N1e"
"274",24,1947830,1955918.36734694,30,10,0,125,0,0,175.316389201907,125,"N1e"
"275",25,1945691,1928072.56235828,30,10,0,125,0,0,175.795214541781,125,"N1e"
"276",26,1943591,1936507.93650794,30,10,0,125,0,0,176.271840482691,125,"N1e"
"277",27,1941491,1938140.58956916,30,10,0,125,0,0,176.7507221073,125,"N1e"
"278",28,1939325,1934965.98639456,30,10,0,125,0,0,177.227629446689,125,"N1e"
"279",29,1937144,1938503.40136054,30,10,0,125,0,0,177.715543282249,125,"N1e"
"280",30,1934991,1941133.78684807,30,10,0,125,0,0,178.226187999112,125,"N1e"
"281",31,1932881,1952653.06122449,30,10,0,125,0,0,178.734257566132,125,"N1e"
"282",32,1930775,1935147.39229025,30,10,0,125,0,0,179.212611196427,125,"N1e"
"283",33,1928649,1929977.32426304,30,10,0,125,0,0,179.717524674201,125,"N1e"
"284",34,1926585,1907301.58730159,30,10,0,125,0,0,180.214616377478,125,"N1e"
"285",35,1924470,1912380.95238095,30,10,0,125,0,0,180.703075988196,125,"N1e"
"286",36,1922364,1932970.52154195,30,10,0,125,0,0,181.200705714769,125,"N1e"
"287",37,1920219,1945306.12244898,30,10,0,125,0,0,181.695822762486,125,"N1e"
"288",38,1918142,1948208.61678005,30,10,0,125,0,0,182.193282299719,125,"N1e"
"289",39,1915973,1899863.94557823,30,10,0,125,0,0,182.67074783777,125,"N1e"
"290",40,1913890,1912743.76417234,30,10,0,125,0,0,183.182491805451,125,"N1e"
"291",41,1911770,1930702.94784581,30,10,0,125,0,0,183.663226498729,125,"N1e"
"292",42,1909642,1916190.47619048,30,10,0,125,0,0,184.170661267452,125,"N1e"
"293",43,1907462,1902312.92517007,30,10,0,125,0,0,184.671555485405,125,"N1e"
"294",44,1905295,1905850.34013605,30,10,0,125,0,0,185.19206369969,125,"N1e"
"295",45,1903208,1907301.58730159,30,10,0,125,0,0,185.711862406271,125,"N1e"
"296",46,1901078,1859138.32199546,30,10,0,125,0,0,186.219876584295,125,"N1e"
"297",47,1898970,1888253.96825397,30,10,0,125,0,0,186.715109681659,125,"N1e"
"298",48,1896886,1908117.9138322,30,10,0,125,0,0,187.233938355026,125,"N1e"
"299",49,1894715,1893605.44217687,30,10,0,125,0,0,187.752862069646,125,"N1e"
"300",50,1892656,1898049.88662132,30,10,0,125,0,0,188.283071884545,125,"N1e"
"301",1,1998086,1999002.2675737,23,10,7,158,0,0,99.5735683897497,158,"N1f"
"302",2,1995907,1994829.93197279,30,10,0,123,0,0,99.8627104453114,123,"N1f"
"303",3,1993840,1984671.20181406,30,10,0,123,0,0,100.211989635009,123,"N1f"
"304",4,1991716,1974149.65986395,30,10,0,123,0,0,100.535281541669,123,"N1f"
"305",5,1989547,1990022.67573696,30,10,0,123,0,0,100.874304852469,123,"N1f"
